accel1_x,accel1_y,accel1_z,gyro1_x,gyro1_y,gyro1_z,accel2_x,accel2_y,accel2_z,gyro2_x,gyro2_y,gyro2_z,flex1,flex2,flex3,flex4,flex5,gesture_label
0.478572,-0.461036,9.528464,4.307849,16.781038,-3.081833,3.105072,-1.377947,11.327272,27.44574,51.918381,32.249283,0.0,0.0,0.0,0.0,0.0,thumb_down
0.17744,-0.729187,9.696058,5.697162,27.956612,-5.555115,3.466596,-1.021211,12.943359,47.567879,112.452728,66.798904,0.0,0.0,90.0,0.0,0.0,thumb_down
-0.67729,-0.824955,9.109479,15.010139,48.277222,-26.058931,4.772633,-2.968894,13.203131,73.888489,155.42984,94.676765,0.0,0.0,90.0,0.0,0.0,thumb_down
1.534952,-0.774677,9.083142,15.865101,76.628365,-43.463512,7.327246,-2.236268,11.169256,70.346504,155.826782,123.791267,0.0,0.0,0.0,0.0,0.0,thumb_down
3.196528,-1.157749,8.357699,23.636093,75.452797,-56.639088,6.140919,-5.048258,19.350243,93.583145,195.109222,148.539352,0.0,0.0,90.0,0.0,0.0,thumb_down
3.02654,-1.492937,7.34974,34.292583,69.101654,-55.097103,8.900236,-5.122478,13.370724,54.422836,187.277161,131.806534,0.0,0.0,90.0,0.0,0.0,thumb_down
3.536505,-1.368439,9.727182,28.56739,74.781036,-73.509308,5.320905,-6.944466,21.330248,13.506809,143.933655,134.554626,0.0,0.0,90.0,0.0,0.0,thumb_down
2.657833,-0.379633,11.134974,28.582661,73.727608,-74.623817,4.906708,-7.693851,18.173492,7.995359,94.681732,141.837067,0.0,0.0,90.0,0.0,0.0,thumb_down
4.446301,-1.303795,10.902736,11.681894,83.605469,-87.723053,1.73918,-7.578929,22.566853,0.453374,175.735184,197.50119,0.0,0.0,90.0,0.0,0.0,thumb_down
3.124702,0.982667,14.501221,1.254414,54.277222,-82.257401,2.252736,-8.726948,20.04097,-5.714565,110.92601,140.630951,0.0,90.0,90.0,90.0,0.0,thumb_down
4.649808,1.102377,12.741483,6.002506,83.010048,-79.188698,1.284281,-8.262473,19.612408,-55.622963,96.361122,144.951569,0.0,90.0,90.0,90.0,0.0,thumb_down
4.695298,1.621919,13.61776,9.941437,48.628368,-65.631447,0.657,-9.447603,19.933231,-21.913038,30.208454,110.585159,0.0,90.0,90.0,90.0,0.0,thumb_down
5.758324,1.210117,12.77979,6.888002,50.979511,-57.585651,-1.537286,-9.268038,19.387352,-24.06571,68.651199,109.043175,0.0,0.0,90.0,90.0,0.0,thumb_down
5.822968,2.119913,14.178003,4.460521,44.078751,-58.165802,-1.577987,-10.022211,20.207367,-24.920671,28.635937,91.073715,0.0,90.0,90.0,90.0,0.0,thumb_down
5.365675,1.823032,14.496432,2.41472,56.399361,-64.684883,-3.529261,-9.455982,18.224968,-34.019905,31.231356,91.440125,0.0,90.0,90.0,90.0,90.0,thumb_down
5.538057,2.778319,15.018368,-13.585281,66.277222,-59.081833,-3.69087,-9.915669,19.522625,-53.332886,15.826776,79.302719,0.0,90.0,90.0,90.0,90.0,thumb_down
