accel1_x,accel1_y,accel1_z,gyro1_x,gyro1_y,gyro1_z,accel2_x,accel2_y,accel2_z,gyro2_x,gyro2_y,gyro2_z,flex1,flex2,flex3,flex4,flex5,gesture_label
0.505965,-0.91255,9.310356,31.883785,5.769985,33.16592,0.196038,-0.761529,11.468794,-22.631851,-31.702198,5.280152,0.0,0.0,0.0,0.0,0.0,swipe_left
-0.128498,-0.754533,9.693429,23.471573,-3.313985,33.700272,0.77304,0.07285,10.398586,-37.731087,-13.091512,-6.658779,0.0,0.0,0.0,0.0,0.0,swipe_left
-0.480446,-0.6444,10.13875,17.868519,-15.237649,40.448364,1.803744,0.615137,7.797286,-52.570778,-13.732734,-23.849617,0.0,0.0,0.0,0.0,0.0,swipe_left
-0.727049,-0.670736,10.51464,18.769283,-28.016273,52.631573,2.52799,0.123129,5.980086,-77.425743,-38.373955,-52.85725,0.0,0.0,0.0,0.0,0.0,swipe_left
-0.545089,-0.706649,10.509851,23.379971,-37.40559,67.333862,2.409477,-0.523306,6.36675,-94.372307,-67.228912,-62.109161,0.0,0.0,0.0,0.0,0.0,swipe_left
-0.233843,-0.891003,10.608014,31.150963,-46.306351,77.700272,2.405886,1.014969,6.484066,-124.143295,-86.404488,-80.567177,0.0,0.0,0.0,0.0,0.0,swipe_left
-0.133286,-0.967617,10.591254,35.089893,-61.375053,87.089584,2.245475,0.520566,7.59737,-141.502075,-110.908302,-110.87252,0.0,0.0,0.0,0.0,0.0,swipe_left
-0.525936,-1.005924,10.603226,36.631878,-76.184212,93.043785,1.928243,0.375717,8.331192,-160.509705,-114.511353,-128.643524,0.0,0.0,0.0,0.0,0.0,swipe_left
-1.067025,-1.075356,10.519428,39.089893,-85.909401,95.730812,1.4506,0.684569,8.223454,-171.547882,-123.763268,-143.651154,0.0,0.0,0.0,0.0,0.0,swipe_left
-1.739796,-1.324353,10.785185,40.647144,-87.542992,97.700272,-0.905295,-1.609076,11.262893,-159.28833,-145.25946,-140.002304,0.0,0.0,0.0,0.0,0.0,swipe_left
