accel1_x,accel1_y,accel1_z,gyro1_x,gyro1_y,gyro1_z,accel2_x,accel2_y,accel2_z,gyro2_x,gyro2_y,gyro2_z,flex1,flex2,flex3,flex4,flex5,gesture_label
1.84466,-0.536909,9.230318,-0.878108,-1.760496,-1.02345,-0.158728,-1.784648,10.161851,-1.191176,4.51805,0.129124,0.0,0.0,0.0,0.0,0.0,swipe_right
1.940428,-0.666196,9.019629,-4.236887,-5.638359,-1.313526,0.187234,-1.380028,9.565695,-0.076672,11.510416,0.006987,0.0,0.0,0.0,0.0,0.0,swipe_right
1.677065,-0.539303,9.227924,-7.6262,-10.340649,-1.72574,0.450597,-1.352495,9.173046,-0.351481,13.678354,-4.435761,0.0,0.0,0.0,0.0,0.0,swipe_right
1.39455,-0.436353,9.330875,-9.94681,-11.821565,-1.038717,0.751069,-1.347706,8.603226,-3.282779,11.266141,-8.588432,0.0,0.0,0.0,0.0,0.0,swipe_right
1.277234,-0.278336,9.426643,-10.175817,-8.752863,0.350596,0.668468,-1.678106,8.526611,-2.916366,0.319576,-11.840342,0.0,0.0,0.0,0.0,0.0,swipe_right
1.487924,-0.292701,9.201588,-8.557497,-2.584924,2.243726,0.427852,-2.391578,9.003057,-3.664458,-5.344546,-7.68767,0.0,0.0,0.0,0.0,0.0,swipe_right
1.689036,-0.256788,9.158492,-7.290321,2.117367,3.633039,0.315324,-2.391578,9.259237,-3.649191,-5.329279,1.640575,0.0,0.0,0.0,0.0,0.0,swipe_right
1.945216,-0.206509,9.22553,-6.084215,4.010496,4.045252,0.443414,-2.252715,9.660266,-1.557588,-3.039203,9.12149,0.0,0.0,0.0,0.0,0.0,swipe_right
2.096051,-0.127501,9.462556,-5.015512,2.285305,3.846779,0.454187,-1.888796,9.912854,-1.725527,5.602019,11.548971,0.0,0.0,0.0,0.0,0.0,swipe_right
2.117599,-0.127501,9.486498,-4.54223,-1.623092,2.533802,0.281805,-1.837321,9.936796,-0.03087,12.304309,10.984085,0.0,0.0,0.0,0.0,0.0,swipe_right
1.878178,-0.38368,9.558324,-5.03078,-6.508588,0.258993,0.239906,-1.505724,9.890109,3.083634,17.556217,11.365765,0.0,0.0,0.0,0.0,0.0,swipe_right
1.667489,-0.599159,9.67564,-7.565131,-10.218512,-0.901313,0.170475,-1.145396,9.529781,2.625618,22.075302,4.602407,0.0,0.0,0.0,0.0,0.0,swipe_right
1.483135,-0.778724,9.709159,-10.481161,-11.943702,-0.641771,-0.928463,-2.632195,10.377329,6.18287,30.350111,8.770346,0.0,0.0,0.0,0.0,0.0,swipe_right
1.25808,-0.623101,9.955762,-14.038413,-14.218512,0.823878,-1.620388,-3.109839,11.264381,6.869893,51.388279,32.174927,0.0,0.0,0.0,0.0,0.0,swipe_right
1.135976,-0.479448,10.389112,-19.381924,-16.645992,0.320061,-1.07451,-2.053996,11.312265,7.511114,73.571487,54.098591,0.0,0.0,0.0,0.0,0.0,swipe_right
1.179072,-0.556063,10.606984,-24.343758,-18.096375,-1.634137,-0.146757,-0.158985,9.946373,2.381344,87.861557,54.205463,0.0,0.0,0.0,0.0,0.0,swipe_right
1.080909,-0.433959,10.671628,-28.847574,-18.310114,-3.466198,0.384756,0.696942,8.48591,3.58745,70.197433,28.083323,0.0,0.0,0.0,0.0,0.0,swipe_right
0.961199,-0.491419,10.496851,-28.084215,-17.058207,-5.344061,0.129773,-1.5979,10.082843,15.343176,42.166904,10.587139,0.0,0.0,0.0,0.0,0.0,swipe_right
1.260474,-0.73084,9.96055,-24.954443,-17.302481,-5.557801,-0.622005,-5.039565,14.342127,23.617985,68.227974,39.945919,0.0,0.0,0.0,0.0,0.0,swipe_right
1.399338,-0.843367,9.261443,-23.076582,-20.875,-5.481465,-0.922478,-5.38433,15.77386,10.488214,158.502777,101.686371,0.0,0.0,0.0,0.0,0.0,swipe_right
1.418492,-0.450718,8.49051,-25.091848,-24.783398,-5.649405,0.248286,-1.784648,12.277128,10.305007,220.014236,135.991714,0.0,0.0,0.0,0.0,0.0,swipe_right
0.721779,-0.062857,7.753096,-30.984978,-21.485687,-6.504366,2.339622,0.88369,7.89933,7.068366,205.769958,100.373398,0.0,0.0,0.0,0.0,0.0,swipe_right
0.769663,0.037699,6.929491,-39.45826,-9.897901,-5.176122,3.172804,-0.052443,5.489566,-1.404916,126.31958,35.655842,0.0,0.0,0.0,0.0,0.0,swipe_right
1.226956,-0.122712,6.697253,-49.183453,5.384542,-5.069252,2.677204,-4.293772,7.232545,15.297375,33.327209,19.686377,0.0,0.0,0.0,0.0,0.0,swipe_right
1.535808,-0.172991,6.424314,-48.572765,21.537212,-8.153221,3.394267,-6.182796,11.09559,19.785923,-13.848362,45.701645,0.0,0.0,0.0,0.0,0.0,swipe_right
2.476729,-0.074828,5.911955,-35.809406,30.697517,-9.985282,5.820791,-7.084213,14.929903,21.388977,18.13637,98.113853,0.0,0.0,0.0,0.0,0.0,swipe_right
3.080068,-0.019762,5.643805,-18.450626,26.605915,-11.664672,7.360262,-2.438265,12.271143,0.045466,65.754692,93.88485,0.0,0.0,0.0,0.0,0.0,swipe_right
3.005847,0.00418,5.524095,1.396701,15.002863,-13.664672,8.669891,-2.82852,9.854197,-0.259878,56.472248,47.426834,0.0,0.0,0.0,0.0,0.0,swipe_right
2.548555,-0.35495,5.6869,21.045557,5.125,-16.244823,7.956419,-4.302151,9.765611,10.976763,20.731789,29.900118,0.0,0.0,0.0,0.0,0.0,swipe_right
2.35223,-0.75957,6.043636,37.824181,0.651718,-18.229557,6.86586,-2.883587,10.310291,16.045465,-6.459049,17.533705,0.0,0.0,0.0,0.0,0.0,swipe_right
1.973946,-0.936741,6.623033,51.381435,0.880725,-20.641769,6.139219,-2.751906,9.870955,10.488214,-29.11554,-15.916677,0.0,0.0,0.0,0.0,0.0,swipe_right
1.763257,-1.142642,7.300592,63.976852,6.117367,-23.038717,5.770513,-3.589876,9.700967,12.060733,-54.153706,-28.466295,0.0,0.0,0.0,0.0,0.0,swipe_right
1.995494,-1.458677,7.789009,76.22113,11.583015,-23.389862,5.630452,-2.562764,9.434013,6.39661,-77.436142,-45.687668,0.0,0.0,0.0,0.0,0.0,swipe_right
2.20379,-1.690915,8.325311,89.045555,12.499046,-20.366961,4.7434,-3.237929,9.887715,1.465313,-94.123169,-66.496834,0.0,0.0,0.0,0.0,0.0,swipe_right
2.692207,-1.829778,8.880765,99.274567,8.346375,-19.893679,3.754595,-3.789792,11.504998,4.763023,-97.497223,-65.076981,0.0,0.0,0.0,0.0,0.0,swipe_right
3.276392,-2.023708,9.098638,109.86998,-1.852099,-24.137953,3.887473,-2.074347,11.463099,9.495847,-89.222412,-62.023544,0.0,0.0,0.0,0.0,0.0,swipe_right
3.707348,-2.143419,9.464951,116.847084,-16.00477,-31.405128,3.60376,-0.439107,10.899265,16.763023,-90.74913,-89.046448,0.0,0.0,0.0,0.0,0.0,swipe_right
3.235691,-2.615076,9.587054,118.984489,-34.142174,-43.099789,2.470105,-1.642193,11.797091,26.411879,-88.96286,-116.023552,0.0,0.0,0.0,0.0,0.0,swipe_right
3.669041,-2.629441,9.670852,116.679146,-57.287212,-48.092152,2.008024,-1.180112,11.563656,37.511116,-74.688065,-129.061707,0.0,0.0,0.0,90.0,0.0,swipe_right
3.82227,-2.892804,9.953367,111.793648,-81.806297,-52.870781,1.148506,-1.382422,11.313462,47.679054,-61.130802,-158.328888,0.0,0.0,0.0,90.0,0.0,swipe_right
3.862972,-3.65416,10.087442,105.457771,-111.59256,-57.985283,-0.07972,-3.032027,12.95349,70.381348,-35.985767,-160.405228,0.0,0.0,0.0,90.0,0.0,swipe_right
