accel1_x,accel1_y,accel1_z,gyro1_x,gyro1_y,gyro1_z,accel2_x,accel2_y,accel2_z,gyro2_x,gyro2_y,gyro2_z,flex1,flex2,flex3,flex4,flex5,gesture_label
0.045102,-0.245128,9.982,3.486718,-4.404,2.433131,1.734856,-1.639258,9.866556,-1.557833,10.275908,7.052337,0.0,0.0,0.0,0.0,0.0,mouse_up
-0.163193,-0.283435,9.883838,6.799695,-3.289496,5.181222,1.409245,-1.833189,9.167449,-5.008215,6.901863,4.960734,0.0,0.0,0.0,0.0,0.0,mouse_up
-0.057848,-0.214003,9.744974,7.975267,-0.373466,8.784275,1.275169,-2.19591,9.289553,-6.65707,-4.640121,7.861497,0.0,0.0,0.0,0.0,0.0,mouse_up
0.253398,-0.278647,9.637236,6.097405,3.168519,10.631603,1.382908,-2.021133,10.181394,-8.641803,-9.601954,8.838596,0.0,0.0,0.0,0.0,0.0,mouse_up
0.567038,-0.264282,9.625264,3.578321,4.710504,10.143055,1.34101,-2.522719,11.15703,-3.878444,-9.311877,13.128674,0.0,0.0,0.0,0.0,0.0,mouse_up
0.641258,-0.307377,9.706667,0.479084,3.046381,7.135421,1.613949,-1.814035,11.18576,-4.183787,3.955298,15.296612,0.0,0.0,0.0,0.0,0.0,mouse_up
0.35156,-0.182879,9.92454,-1.047634,0.420427,4.585803,1.815062,-1.793684,10.43039,-0.428062,6.199573,14.090506,0.0,0.0,0.0,0.0,0.0,mouse_up
0.08341,-0.173302,9.972424,-0.375878,-1.396366,3.364428,2.206513,-0.984444,9.896483,-1.893711,7.741558,9.998901,0.0,0.0,0.0,0.0,0.0,mouse_up
-0.048272,-0.209215,9.879049,2.860764,-1.182626,4.570535,1.878508,-1.842766,9.181814,-6.870811,2.733924,3.73936,0.0,0.0,0.0,0.0,0.0,mouse_up
0.03792,-0.118235,9.778493,6.036335,1.00058,6.936947,1.983853,-1.448919,9.532564,-6.886077,-7.372946,5.754627,0.0,0.0,0.0,0.0,0.0,mouse_up
0.32283,-0.273858,9.551044,7.135573,3.351725,8.891146,1.610357,-2.282101,9.694174,-12.809741,-9.830961,0.685925,0.0,0.0,0.0,0.0,0.0,mouse_up
0.610134,-0.539615,9.335566,5.883665,4.054015,9.135421,1.114758,-2.634049,10.891273,-5.664703,-14.945465,7.434016,0.0,0.0,0.0,0.0,0.0,mouse_up
0.667595,-0.470183,9.290076,1.578321,2.450962,7.471298,0.82865,-3.0674,11.68974,-6.534932,-1.78516,13.571421,0.0,0.0,0.0,0.0,0.0,mouse_up
0.631682,-0.383992,9.71385,-4.696488,-0.281863,4.540001,1.10159,-2.431739,11.536511,-1.847909,9.680489,24.44165,0.0,0.0,0.0,0.0,0.0,mouse_up
0.088198,-0.106264,10.173536,-9.078168,-2.083389,1.501833,2.040116,-1.515957,10.49264,-1.099818,16.062168,24.212643,0.0,0.0,0.0,0.0,0.0,mouse_up
-0.213471,0.056541,10.372255,-6.63542,-0.984153,0.081985,2.873299,-0.334418,9.429614,0.762778,10.688123,13.739361,0.0,0.0,0.0,0.0,0.0,mouse_up
-0.321211,-0.089505,9.986789,1.807328,2.160885,1.761375,2.71169,-0.844383,8.898102,-1.863177,2.459115,2.426383,0.0,0.0,0.0,0.0,0.0,mouse_up
-0.2015,-0.218792,9.570198,8.448549,5.748672,5.639237,2.286719,-1.445328,8.75804,-5.283024,-9.937832,-4.474381,0.0,0.0,0.0,0.0,0.0,mouse_up
0.174389,-0.324137,9.230221,10.23481,9.290657,8.677405,1.714505,-2.103734,9.619953,-5.802108,-20.670656,-4.443846,0.0,0.0,0.0,0.0,0.0,mouse_up
