accel1_x,accel1_y,accel1_z,gyro1_x,gyro1_y,gyro1_z,accel2_x,accel2_y,accel2_z,gyro2_x,gyro2_y,gyro2_z,flex1,flex2,flex3,flex4,flex5,gesture_label
-2.408102,-1.3132,10.964735,31.087208,-147.181137,3.701343,0.606915,3.219175,11.247931,-83.845619,50.137955,-117.937523,0.0,0.0,0.0,0.0,0.0,swipe_right
-4.49824,-1.935693,11.316683,33.972702,-164.234573,-10.939878,-0.20472,4.42705,12.340884,-75.387604,59.573067,-136.334473,0.0,0.0,90.0,0.0,0.0,swipe_right
-4.215724,-1.78007,12.190567,30.445984,-175.975037,-13.458962,-0.355554,4.965745,12.367221,-66.853256,59.679939,-153.174164,0.0,0.0,0.0,0.0,0.0,swipe_right
-5.925185,-1.559803,14.524913,33.804764,-198.371979,-23.947514,-1.247395,4.893919,12.258285,-74.547905,53.954746,-179.036758,0.0,0.0,90.0,0.0,0.0,swipe_right
-7.725624,-2.292429,14.692507,47.346748,-186.829987,-18.34446,-3.481184,4.304945,14.120974,-80.486839,29.099785,-176.670349,0.0,0.0,0.0,0.0,0.0,swipe_right
-8.166157,-1.8088,16.152969,32.736061,-163.959763,-12.542932,-4.674694,4.854415,14.13055,-80.135696,20.870777,-152.426071,0.0,0.0,0.0,0.0,0.0,swipe_right
-8.939484,-0.683525,16.677299,42.613926,-118.906319,-1.825375,-4.192263,5.026797,16.146467,-80.837982,-22.747545,-123.372635,0.0,0.0,0.0,0.0,0.0,swipe_right
-10.648945,0.834399,16.97897,47.362015,-69.10479,14.586839,-3.028681,4.600629,12.221174,-94.807449,-157.953659,-111.937523,0.0,0.0,0.0,0.0,0.0,swipe_right
-9.947443,1.246201,14.812218,83.331474,54.131844,28.128822,-1.075012,4.625768,17.423775,-46.181496,-264.488007,-56.578751,0.0,0.0,0.0,0.0,0.0,swipe_right
-10.160528,3.532664,14.53449,139.545227,56.131844,40.968517,3.699027,10.096519,14.650092,-52.303631,-338.503265,-83.662712,0.0,0.0,0.0,0.0,0.0,swipe_right
-14.357563,2.797644,14.96784,246.690262,154.834137,25.441799,6.618755,10.231791,8.615507,16.856672,-470.839142,-131.739044,0.0,0.0,0.0,0.0,0.0,swipe_right
-8.934696,4.81835,11.797917,296.476532,240.406647,164.647919,16.887486,6.478881,8.567623,-89.586075,-498.655945,-137.479507,0.0,0.0,0.0,0.0,0.0,swipe_right
-10.742319,9.51338,24.480003,380.720795,-62.249836,132.113556,28.553232,14.276795,19.421736,-230.01355,-498.655945,-253.540573,0.0,0.0,0.0,0.0,0.0,swipe_right
-10.105461,5.555764,25.962013,407.331482,246.605118,17.792946,21.909323,0.704066,33.559498,19.009344,-473.831512,-422.502411,0.0,0.0,0.0,0.0,0.0,swipe_right
-10.598667,0.061071,23.507957,317.224609,121.811234,20.815845,7.463909,-8.451362,34.420212,-12.166229,-316.854431,-290.487152,0.0,0.0,0.0,0.0,0.0,swipe_right
-10.239536,-2.670713,24.922932,184.583389,65.734901,25.365463,-1.91418,-6.032021,35.100166,-0.257832,-181.51091,-138.258133,0.0,0.0,0.0,0.0,0.0,swipe_right
-10.22517,-0.891821,23.792868,84.980331,26.131844,22.785311,-4.280848,-3.097926,32.61618,2.00171,-54.365864,-25.937527,0.0,0.0,0.0,0.0,0.0,swipe_right
-9.796608,-0.204685,22.634073,11.194077,-3.349071,17.01432,-4.007909,1.678506,28.237186,-6.364702,5.679937,23.604458,0.0,0.0,90.0,0.0,0.0,swipe_right
-10.261084,-0.963647,20.900673,-17.844091,13.002074,5.625007,-5.685047,3.561546,25.972271,20.902473,45.817345,24.001404,0.0,0.0,0.0,0.0,0.0,swipe_right
-9.827734,-1.78007,19.358807,-38.714321,19.841768,-6.848275,-6.557734,4.491693,25.172607,29.879574,54.504368,17.726595,0.0,0.0,90.0,0.0,0.0,swipe_right
-9.375229,-1.818377,18.037207,-41.355541,16.223448,-15.382627,-6.925244,5.83484,20.387796,29.971176,70.061615,24.291481,0.0,0.0,0.0,0.0,0.0,swipe_right
-9.736753,-1.401786,17.354858,-40.302105,12.559326,-20.45133,-6.760044,7.262981,21.193445,23.864305,56.473831,9.711328,0.0,0.0,0.0,0.0,0.0,swipe_right
-8.386424,-1.59811,16.480976,-28.179968,31.44482,-31.565834,-7.375354,6.435785,21.00909,40.291786,61.573067,-12.807756,0.0,0.0,0.0,0.0,0.0,swipe_right
-8.094332,-1.732186,16.660542,-34.256306,25.322683,-32.298656,-7.78955,4.004473,21.017471,30.612396,56.26009,-13.189436,0.0,0.0,0.0,0.0,0.0,swipe_right
-7.816604,-1.464035,16.634205,-44.088364,-8.2193,-18.970413,-8.198959,3.088691,19.847904,6.047512,71.618866,18.749495,0.0,0.0,0.0,0.0,0.0,swipe_right
-8.163763,-1.665148,16.708426,-47.996761,-19.257469,-8.222322,-7.91764,4.764632,20.149574,0.566596,69.191383,37.467052,0.0,0.0,0.0,0.0,0.0,swipe_right
