accel1_x,accel1_y,accel1_z,gyro1_x,gyro1_y,gyro1_z,accel2_x,accel2_y,accel2_z,gyro2_x,gyro2_y,gyro2_z,flex1,flex2,flex3,flex4,flex5,gesture_label
0.492101,0.499435,9.365395,3.672121,2.950596,2.14974,-3.148445,0.582131,10.926601,-2.602108,-6.864367,-0.185679,0.0,0.0,0.0,0.0,0.0,mouse_down
-0.168698,0.990247,9.968733,-1.366047,-12.759328,2.455084,-3.164007,2.115617,9.09743,-5.640276,13.563115,9.325771,0.0,0.0,0.0,0.0,0.0,mouse_down
0.228739,0.511406,9.128368,7.412579,3.423879,2.790962,-2.979654,0.922108,10.622538,-0.220429,0.418076,4.150199,0.0,0.0,90.0,0.0,0.0,mouse_down
-0.278832,0.588021,9.532989,8.832426,-5.049404,5.416916,-3.165205,1.262084,9.934204,-11.533406,-2.864367,3.38684,0.0,0.0,90.0,0.0,0.0,mouse_down
0.128183,0.394091,9.437221,9.641586,-1.736427,-0.338809,-2.631298,0.25652,12.235032,9.626899,22.708153,11.402107,0.0,0.0,0.0,0.0,0.0,mouse_down
-0.573318,0.875325,10.042953,10.237006,-4.240243,3.844397,-2.687561,1.167513,10.189186,5.016212,19.898993,14.287603,0.0,0.0,0.0,0.0,0.0,mouse_down
0.472948,0.43958,9.913667,1.916396,-8.148641,-0.155603,-1.885504,-1.145285,13.021527,16.359724,69.471512,45.11203,0.0,0.0,0.0,0.0,0.0,mouse_down
-0.144756,0.305505,9.571296,4.664487,-16.652456,1.065771,-0.094641,-1.561876,10.909842,51.581097,175.440979,111.676918,0.0,0.0,0.0,0.0,0.0,mouse_down
1.344437,-0.764703,8.836276,6.328609,-17.99597,-9.0411,8.458644,-3.861507,16.70381,169.932236,409.486786,225.249435,0.0,0.0,0.0,0.0,0.0,mouse_down
-2.364181,0.875325,10.83304,11.366777,-18.224976,2.623023,6.55286,-3.528713,11.950122,47.321556,237.883728,136.837234,0.0,0.0,0.0,0.0,0.0,mouse_down
-0.951602,1.349377,10.940779,-15.030169,-9.003602,6.714626,6.807843,3.119985,3.388457,20.558197,168.815018,90.043327,0.0,0.0,0.0,0.0,0.0,mouse_down
-0.429667,-0.32417,8.766844,16.053801,10.400978,4.409283,6.437938,-3.917771,14.570576,10.741403,48.845554,33.737984,0.0,0.0,0.0,0.0,0.0,mouse_down
-0.716971,0.169036,9.97831,4.664487,-8.026503,3.600122,6.860515,-2.792496,13.213063,-14.602109,-2.177344,-14.643695,0.0,0.0,0.0,0.0,0.0,mouse_down
-0.424878,0.05172,9.580873,-0.770627,-1.980701,0.14974,6.381675,-2.747006,13.414177,-2.770047,43.761585,18.40974,0.0,0.0,0.0,0.0,0.0,mouse_down
-0.558953,-0.15897,9.475528,2.603419,-2.438717,3.157374,6.326608,-4.391823,14.86626,-11.075391,5.898993,-0.887969,0.0,0.0,0.0,0.0,0.0,mouse_down
-0.757672,0.48507,9.626362,-0.724825,5.255939,-0.506748,7.036489,-2.689545,13.411782,-0.770047,-12.162076,-2.460488,0.0,0.0,0.0,0.0,0.0,mouse_down
-0.456003,0.10918,9.453979,-7.518719,-5.690625,-0.751023,6.950298,-3.711869,15.025475,-7.166994,11.31884,2.180733,0.0,0.0,0.0,0.0,0.0,mouse_down
-0.776826,0.248044,9.458768,0.847694,-0.621923,-0.598351,6.508567,-3.927348,13.494382,-0.250963,0.112733,0.058596,0.0,0.0,0.0,0.0,0.0,mouse_down
-0.324322,0.41085,9.559324,-4.15994,-2.759327,-1.819725,7.108315,-2.823621,14.137225,2.420792,5.608916,1.905924,0.0,0.0,0.0,0.0,0.0,mouse_down
-0.702605,0.188189,9.518623,1.794258,5.423879,-0.781557,6.457092,-3.93453,13.851118,-1.258597,-6.986504,1.081496,0.0,0.0,0.0,0.0,0.0,mouse_down
-0.987515,0.578444,9.76762,-0.831696,1.790291,-0.064,6.725243,-3.586174,13.483608,-5.151727,-6.177343,-0.979572,0.0,0.0,0.0,0.0,0.0,mouse_down
0.065933,-0.070385,9.283992,3.763724,10.782657,0.897832,6.428361,-3.739403,14.734579,-5.380734,-19.38345,0.196,0.0,0.0,0.0,0.0,0.0,mouse_down
-0.247707,0.413244,9.643122,-5.595055,-6.087572,2.363481,7.109512,-3.040296,13.393826,-4.281498,6.372275,1.050962,0.0,0.0,0.0,0.0,0.0,mouse_down
-0.774431,0.113969,9.532989,-0.114138,2.049833,0.439817,6.423573,-3.510756,13.96604,-2.388368,-1.291847,1.432641,0.0,0.0,90.0,0.0,0.0,mouse_down
-0.554165,0.453946,9.580873,-2.007268,-1.33948,-0.689954,6.917976,-2.743415,13.61529,-0.64791,0.93716,-0.445221,0.0,0.0,0.0,0.0,0.0,mouse_down
