accel1_x,accel1_y,accel1_z,gyro1_x,gyro1_y,gyro1_z,accel2_x,accel2_y,accel2_z,gyro2_x,gyro2_y,gyro2_z,flex1,flex2,flex3,flex4,flex5,gesture_label
-0.282166,-1.892396,9.973556,22.380337,-7.011175,1.977985,-0.391783,1.364573,8.014017,-11.287512,-17.68498,-24.053465,0.0,0.0,0.0,0.0,0.0,swipe_down
-0.188792,-1.980982,9.940037,25.143694,-4.705832,2.863481,-0.085325,1.65068,7.599821,-16.661558,-20.70788,-27.625984,0.0,0.0,0.0,0.0,0.0,swipe_down
-0.174427,-2.148576,9.844269,28.013924,-1.743999,4.313863,-0.072158,2.171419,6.697207,-24.356215,-32.830017,-35.290108,0.0,0.0,0.0,0.0,0.0,swipe_down
0.038657,-2.359265,9.767654,30.563541,0.973558,5.550504,-0.404952,1.09762,7.437015,-18.188276,-52.326202,-39.625984,0.0,0.0,0.0,0.0,0.0,swipe_down
0.234982,-2.567561,9.774837,31.830719,2.057527,6.92455,-0.474383,1.936787,7.168865,-24.98217,-49.959789,-35.0611,0.0,0.0,0.0,0.0,0.0,swipe_down
0.373846,-2.548407,9.817932,34.716213,0.118596,8.252794,0.124167,2.396474,6.429056,-33.852398,-56.402538,-49.274841,0.0,0.0,0.0,0.0,0.0,swipe_down
0.151185,-2.478976,9.990314,38.517742,-3.545526,10.039053,0.090649,2.164237,5.826915,-42.340946,-64.433067,-57.946594,0.0,0.0,0.0,0.0,0.0,swipe_down
-0.162456,-2.543619,9.868211,44.624611,-6.705832,12.588672,-0.337914,2.011007,6.460181,-37.318047,-90.478874,-60.816826,0.0,0.0,0.0,0.0,0.0,swipe_down
-0.512009,-2.783039,9.851451,50.517742,-7.392855,14.619206,-1.337493,1.858976,8.339629,-31.867666,-96.494141,-55.000031,0.0,0.0,0.0,0.0,0.0,swipe_down
-0.579047,-2.756703,9.67428,53.494839,-4.782168,16.390198,-1.865415,2.378518,9.001626,-40.340946,-74.020859,-55.839725,0.0,0.0,0.0,0.0,0.0,swipe_down
-0.605383,-3.03443,9.844269,52.792549,-0.354687,17.504704,-1.327916,2.905242,7.354415,-51.974537,-58.601013,-62.297741,0.0,0.0,0.0,0.0,0.0,swipe_down
-0.483279,-2.850077,10.145938,50.929955,1.736917,17.672642,-1.065751,2.54252,6.321317,-44.493618,-80.29567,-62.618351,0.0,0.0,0.0,0.0,0.0,swipe_down
