accel1_x,accel1_y,accel1_z,gyro1_x,gyro1_y,gyro1_z,accel2_x,accel2_y,accel2_z,gyro2_x,gyro2_y,gyro2_z,flex1,flex2,flex3,flex4,flex5,gesture_label
-1.683727,-0.280754,8.387308,-21.860405,-55.939877,-56.900459,-0.078271,-0.93682,18.589724,72.85524,42.168949,-25.559727,0.0,0.0,0.0,0.0,0.0,swipe_down
-1.236011,-0.393281,8.660247,-38.684834,-84.703239,-62.992062,0.698647,-0.704582,18.91773,84.717834,78.245285,-27.86507,0.0,0.0,0.0,0.0,0.0,swipe_down
-1.274318,-0.510597,9.433574,-52.516891,-119.848274,-67.984428,1.783221,0.057971,18.24855,95.053719,117.665131,-41.681862,0.0,0.0,0.0,0.0,0.0,swipe_down
-2.579158,-0.414829,10.003394,-64.852776,-152.077286,-73.007324,1.962786,-0.038994,17.464449,103.603333,143.237656,-62.903236,0.0,0.0,0.0,0.0,0.0,swipe_down
-4.231157,0.035281,9.732849,-75.738266,-162.65744,-78.701981,1.13559,-1.653883,16.861111,110.015549,147.9552,-66.658966,0.0,0.0,0.0,0.0,0.0,swipe_down
-5.042792,0.41117,9.479064,-84.623764,-154.184158,-83.495872,0.896169,-2.470306,17.563808,125.20639,135.665131,-41.727665,0.0,0.0,0.0,0.0,0.0,swipe_down
-4.925476,0.703263,9.234856,-90.623764,-141.787216,-86.595116,1.91131,-1.549736,18.294041,127.007912,137.772003,-26.23148,0.0,0.0,0.0,0.0,0.0,swipe_down
-4.111447,0.890011,8.937974,-94.868034,-139.375,-88.45771,3.540565,-1.080472,18.508322,127.496468,145.573532,-25.849804,0.0,0.0,0.0,0.0,0.0,swipe_down
-3.555993,1.196468,9.364142,-96.745903,-149.878815,-90.595116,4.837025,-0.64353,18.31918,131.404846,146.657501,-40.139877,0.0,0.0,0.0,0.0,0.0,swipe_down
-4.599864,1.462225,9.929173,-91.661934,-166.077286,-94.442444,5.335019,-0.878162,18.545431,134.42775,150.474289,-57.574989,0.0,0.0,0.0,0.0,0.0,swipe_down
