accel1_x,accel1_y,accel1_z,gyro1_x,gyro1_y,gyro1_z,accel2_x,accel2_y,accel2_z,gyro2_x,gyro2_y,gyro2_z,flex1,flex2,flex3,flex4,flex5,gesture_label
1.079674,-2.462408,8.116022,26.191359,35.926079,-49.020889,9.223807,-4.30381,18.605042,82.355423,196.403336,113.593277,0.0,0.0,0.0,0.0,0.0,curl_wave
1.999048,-2.110461,8.228549,45.504337,33.590199,-66.959816,10.191065,-3.474219,14.20809,112.065346,272.968201,161.303207,0.0,0.0,90.0,0.0,0.0,curl_wave
2.104393,-2.431283,9.071308,64.511971,49.284855,-83.723175,9.290845,-4.66294,18.723555,92.340157,300.891876,206.097092,0.0,0.0,0.0,0.0,0.0,curl_wave
2.983065,-1.863858,9.557331,73.886017,44.643635,-104.730812,7.406609,-6.651325,20.692785,30.63023,203.349899,231.791748,0.0,90.0,0.0,0.0,0.0,curl_wave
2.597599,-2.414524,10.196583,83.260063,62.887909,-121.188828,4.431813,-7.667664,21.373936,-5.094962,98.006386,200.402435,0.0,0.0,0.0,90.0,90.0,curl_wave
2.305506,-1.550217,11.896466,81.061592,103.391724,-115.738441,2.824106,-8.915043,23.035511,-52.530079,13.36516,155.33374,0.0,90.0,0.0,90.0,90.0,curl_wave
3.564856,-0.597325,12.523746,83.962357,107.284851,-85.066689,1.197247,-9.286143,21.539135,-65.75145,-28.527969,101.119995,0.0,0.0,0.0,90.0,90.0,curl_wave
6.121863,0.67639,14.214053,75.244797,128.185623,-47.020889,-0.861767,-9.384306,22.29331,-101.201828,-57.550869,37.364277,0.0,90.0,0.0,90.0,90.0,curl_wave
5.401208,1.940529,16.062378,58.496704,76.674164,-36.394932,-2.619111,-10.072639,20.190002,-62.163666,-28.909649,45.761223,0.0,90.0,0.0,90.0,90.0,curl_wave
8.056377,1.995595,16.897953,36.328762,107.315384,11.345525,-3.562427,-12.563807,19.058743,-98.530075,-26.085222,0.234504,90.0,90.0,0.0,90.0,90.0,curl_wave
8.853647,2.215862,16.871616,9.122658,80.521492,67.834076,-3.9862,-14.560571,18.066347,-78.133125,26.540731,-50.025036,0.0,90.0,0.0,90.0,90.0,curl_wave
11.1856,0.791312,16.476574,-23.97658,104.307755,146.795914,-3.928739,-16.207781,17.94903,-112.71328,68.601799,-130.727325,0.0,90.0,0.0,90.0,90.0,curl_wave
9.811329,0.219098,16.536428,-46.205585,117.865005,234.795914,-3.422366,-16.855412,19.020435,-142.407944,104.204857,-226.895264,0.0,90.0,0.0,90.0,90.0,curl_wave
6.82097,0.580622,16.933867,-58.923145,124.414627,313.757751,-4.591933,-14.219397,20.258238,-167.308701,127.151421,-281.200623,90.0,90.0,90.0,90.0,90.0,curl_wave
4.630276,-0.319597,17.793385,-58.78574,121.437523,383.040192,-4.493771,-9.045527,21.414639,-165.369766,151.853714,-334.742584,0.0,90.0,0.0,90.0,90.0,curl_wave
-3.29932,0.324443,15.063995,-54.694138,62.017681,345.391327,-2.670586,-0.609557,23.443724,-115.308701,123.075089,-315.704437,90.0,90.0,90.0,90.0,90.0,curl_wave
-9.160326,-1.504727,14.14941,-32.907875,102.811569,283.452393,0.493351,6.042732,26.091711,-134.270538,97.136154,-255.338013,0.0,90.0,90.0,90.0,90.0,curl_wave
-11.26004,-2.436072,12.442345,-14.098716,63.788673,208.841721,2.857625,11.683472,27.100866,-85.583511,71.349892,-198.147171,0.0,90.0,90.0,90.0,90.0,curl_wave
-11.904081,-3.269254,15.15258,-4.40406,65.742867,86.765373,4.539552,11.075344,25.041853,-68.07206,22.937679,-75.582291,0.0,90.0,90.0,90.0,90.0,curl_wave
-10.338274,-4.423259,15.301022,-1.350625,30.628366,30.276823,5.339215,9.143223,23.134872,-28.682747,18.372793,-19.536488,0.0,90.0,0.0,90.0,90.0,curl_wave
-9.138779,-4.911676,15.777467,-5.778106,12.368824,-9.310964,6.006001,6.549106,22.591389,-6.606412,5.380427,17.547482,0.0,90.0,90.0,90.0,90.0,curl_wave
-8.365451,-5.143914,15.85887,-7.549098,-8.455604,-26.242262,5.978467,5.680011,21.796513,15.668397,11.380426,32.829926,90.0,90.0,90.0,90.0,90.0,curl_wave
-7.450866,-4.729717,15.674517,-6.907877,-12.333466,-36.349133,5.816858,4.221942,22.158037,24.218016,7.701038,40.387177,0.0,90.0,0.0,90.0,90.0,curl_wave
-6.97442,-4.351433,15.825351,-7.762838,-20.623543,-45.92165,5.354777,3.743102,22.222681,33.469921,7.807908,47.929161,90.0,90.0,90.0,90.0,90.0,curl_wave
-6.636837,-4.049764,15.712824,-10.083449,-28.134993,-55.005619,4.683204,3.47136,21.989246,42.111145,14.708672,55.379543,0.0,90.0,0.0,90.0,90.0,curl_wave
-6.476426,-3.860622,15.945061,-20.571999,-33.173161,-70.914017,4.081062,3.654516,21.540333,48.93557,22.754473,72.631447,0.0,90.0,90.0,0.0,90.0,curl_wave
-6.01195,-2.98195,16.012098,-37.014748,-49.768578,-86.043785,3.523213,2.866824,22.284929,66.462296,31.945312,88.66198,90.0,90.0,0.0,90.0,90.0,curl_wave
